,Код,Наименование,Рекомендованная цена
616,2900002085983,1С:Предприятие 8 КОРП. Клиентская лицензия на 10 рабочих мест. Электронный апгрейд лицензии ПРОФ (USB),116200
617,2900002085990,1С:Предприятие 8 КОРП. Клиентская лицензия на 20 рабочих мест. Электронный апгрейд лицензии ПРОФ (USB),218700
618,2900002086003,1С:Предприятие 8 КОРП. Клиентская лицензия на 50 рабочих мест. Электронный апгрейд лицензии ПРОФ (USB),503700
619,2900002086010,1С:Предприятие 8 КОРП. Клиентская лицензия на 100 рабочих мест. Электронный апгрейд лицензии ПРОФ (USB),968600
620,2900002086027,1С:Предприятие 8 КОРП. Клиентская лицензия на 300 рабочих мест. Электронный апгрейд лицензии ПРОФ (USB),2873400
621,2900002086034,1С:Предприятие 8 КОРП. Клиентская лицензия на 500 рабочих мест. Электронный апгрейд лицензии ПРОФ (USB),4778200
622,2900002085952,1С:Предприятие 8.3 КОРП. Лицензия на сервер (x86-64). Электронный апгрейд лицензии ПРОФ (USB),290600
625,2900002286991,1С:Аналитика на 1 сеанс клиента системы аналитики ПРОФ. Электронная поставка,36300
626,2900002156898,1С:Аналитика на 10 сеансов клиентов системы аналитики ПРОФ. Электронная поставка,104700
627,2900002460841,1С:Аналитика на 10 сеансов клиентов системы аналитики ПРОФ на 90 дней. Электронная поставка,12100
628,2900002598025,1С:Аналитика на 100 сеансов клиентов системы аналитики ПРОФ. Электронная поставка,992200
629,4601546030443,1С:Предприятие 8. Расширение для карманных компьютеров. Дополнительная лицензия на 1 рабочее место. Коробочная поставка,1700
630,2900001659611,1С:Предприятие 8. Клиентская лицензия на 1 мобильное рабочее место. Электронная поставка.,1600
631,2900001659628,1С:Предприятие 8. Клиентская лицензия на 5 мобильных рабочих мест. Электронная поставка.,5100
632,2900001659635,1С:Предприятие 8. Клиентская лицензия на 10 мобильных рабочих мест. Электронная поставка.,9600
633,2900001659642,1С:Предприятие 8. Клиентская лицензия на 20 мобильных рабочих мест. Электронная поставка.,18100
634,2900001659666,1С:Предприятие 8. Клиентская лицензия на 50 мобильных рабочих мест. Электронная поставка.,43300
635,2900001659673,1С:Предприятие 8. Клиентская лицензия на 100 мобильных рабочих мест. Электронная поставка.,83100
636,2900001659680,1С:Предприятие 8. Клиентская лицензия на 300 мобильных рабочих мест. Электронная поставка.,246200
637,2900001659697,1С:Предприятие 8. Клиентская лицензия на 500 мобильных рабочих мест. Электронная поставка.,408000
638,2900001890113,1С:Предприятие 8 NFR. Клиентская лицензия на 20 рабочих мест. Электронная поставка,
639,2900001890120,1С:Предприятие 8 NFR. Клиентская лицензия на 50 рабочих мест. Электронная поставка,
640,2900001890137,1С:Предприятие 8.3 NFR. Лицензия на сервер (x86-64). Электронная поставка,
641,2900002460834,1С:Аналитика на 10 сеансов клиентов системы аналитики ПРОФ NFR. Электронная поставка,
642,2900002162431,1С:Предприятие 8. Сервер МИНИ на 5 подключений. Антикризисная электронная поставка для разработчиков,2880
643,2900002137873,1С:Предприятие 8. Клиентская лицензия на 20 рабочих мест для вузов. Электронная поставка,
647,4601546051233,1С:Предприятие 8. CRM Базовая версия. Коробочная поставка,5700
648,2900001534215,1С:Предприятие 8. CRM СТАНДАРТ. Комплект на 5 пользователей. Электронная поставка,29600
649,4601546109903,1С:Предприятие 8. CRM СТАНДАРТ. Комплект на 5 пользователей. Коробочная поставка,29600
650,2900001173995,1С:CRM СТАНДАРТ. NFR. Коробочная поставка,
651,4601546126139,1С:Предприятие 8. CRM ПРОФ. Электронная поставка,28500
652,4601546126146,1С:CRM ПРОФ. Клиентская лицензия на 1 рабочее место. Электронная поставка,9700
653,4601546126153,1С:CRM ПРОФ. Клиентская лицензия на 5 рабочих мест. Электронная поставка,44700
654,4601546126160,1С:CRM ПРОФ. Клиентская лицензия на 10 рабочих мест. Электронная поставка,82800
655,4601546126177,1С:CRM ПРОФ. Клиентская лицензия на 20 рабочих мест. Электронная поставка,159600
656,4601546126184,1С:CRM ПРОФ. Клиентская лицензия на 50 рабочих мест. Электронная поставка,385300
657,4601546126191,1С:CRM ПРОФ. Клиентская лицензия на 100 рабочих мест. Электронная поставка,731900
658,4601546126207,1С:Предприятие 8. CRM КОРП. Электронная поставка,50000
